Número,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Teléfono,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Mes
D00015,AeroPlus,Empresa,Contacto O,-,AeroPlus@example,(011) 5000-0015,Observación 15,S.A,Responsable Inscripto,24-56789013-4,23/3/2024,45383,NO,Anual,"$109,935.00",403101,March
D00016,MaxiData,Empresa,Contacto P,-,MaxiData@example.com,(011) 5000-0016,Observación 16,,Monotributista,25-67890124-5,7/4/2024,,SI,Mensual,"$483,186.00",402101,April
D00017,EcoAventura,Empresa,Contacto Q,-,EcoAventura@example.com,(011) 5000-0017,Observación 17,S.A,Responsable Inscripto,26-78901235-6,29/3/2024,45383,NO,Bimestral,"$349,289.00",403101,March
D00018,Sigma Consulting,Empresa,Contacto R,-,Sigma Consulting@example.com,(011) 5000-0018,Observación 18,S.A,Monotributista,27-89012346-7,30/3/2024,,SI,Anual,"$191,824.00",403101,March
D00019,Soluciones Avanzadas,Empresa,Contacto S,-,Soluciones Avanzadas@example.com,(011) 5000-0019,Observación 19,S.A,Responsable Inscripto,28-90123457-8,1/1/2024,45383,NO,Mensual,"$349,612.00",402101,January
D00020,RedSol Argentina,Empresa,Contacto T,-,RedSol Argentina@example.com,(011) 5000-0020,Observación 20,S.A,Monotributista,29-01234568-9,4/3/2024,45383,NO,Bimestral,"$452,948.00",403101,March
D00021,Grupo Synthesis,Empresa,Contacto U,-,Grupo Synthesis@example.com,(011) 5000-0021,Observación 21,S.A,Responsable Inscripto,20-12345680-1,16/4/2024,,SI,Anual,"$359,387.00",403101,April
D00022,DeltaElectro,Empresa,Contacto V,-,DeltaElectro@example.com,(011) 5000-0022,Observación 22,S.A,Monotributista,21-23456781-2,4/2/2024,45383,NO,Mensual,"$453,421.00",402101,February
D00023,SmartTech Argentina,Empresa,Contacto W,-,SmartTech Argentina@example.com,(011) 5000-0023,Observación 23,S.A,Responsable Inscripto,22-34567892-3,30/5/2024,,SI,Bimestral,"$333,679.00",403101,May
D00024,NovaVisión,Empresa,Contacto X,-,NovaVisión@example.com,(011) 5000-0024,Observación 24,S.A,Monotributista,23-45678903-4,31/5/2024,,SI,Anual,"$152,261.00",403101,May
D00025,InfoMática S.A.,Empresa,Contacto Y,-,InfoMática S.A.@example.com,(011) 5000-0025,Observación 25,S.A,Responsable Inscripto,24-56789014-5,8/6/2024,,SI,Mensual,"$309,782.00",402101,June
D00026,Energía VIVA,Empresa,Contacto Z,-,Energía VIVA@example,(011) 5000-0026,Observación 26,S.A,Monotributista,25-67890125-6,13/6/2024,,SI,Bimestral,"$270,140.00",403101,June
D00027,TransWorld,Empresa,Contacto AA,-,TransWorld@example.com,(011) 5000-0027,Observación 27,S.A,Responsable Inscripto,26-78901236-7,5/6/2024,,SI,Anual,"$414,446.00",403101,June
D00028,Soluciones Urbanas,Empresa,Contacto BB,-,Soluciones Urbanas@example.com,(011) 5000-0028,Observación 28,,Monotributista,27-89012347-8,27/1/2024,45383,NO,Mensual,"$218,575.00",402101,January
D00029,GlobalNet,Empresa,Contacto CC,-,GlobalNet@example.com,(011) 5000-0029,Observación 29,S.R.L,Responsable Inscripto,28-90123458-9,18/6/2024,,SI,Bimestral,"$272,633.00",403101,June
D00030,FuturoTech,Empresa,Contacto DD,-,FuturoTech@example.com,(011) 5000-0030,Observación 30,S.R.L,Monotributista,29-01234569-0,22/1/2024,45383,NO,Anual,"$445,169.00",403101,January
D00031,InnovarX,Empresa,Contacto EE,-,InnovarX@example.com,(011) 5000-0031,Observación 31,S.R.L,Responsable Inscripto,20-12345681-3,5/6/2024,,SI,Mensual,"$189,438.00",402101,June
D00032,Cobra Solutions,Empresa,Contacto FF,-,Cobra Solutions@example.com,(011) 5000-0032,Observación 32,S.R.L,Monotributista,21-23456782-4,7/5/2024,,SI,Bimestral,"$115,526.00",403101,May
D00033,Metrópolis S.A.,Empresa,Contacto GG,-,Metrópolis S.A.@example.com,(011) 5000-0033,Observación 33,S.A,Responsable Inscripto,22-34567893-5,21/4/2024,,SI,Anual,"$154,409.00",403101,April
D00034,Vortex Energía,Empresa,Contacto HH,-,Vortex Energía@example.com,(011) 5000-0034,Observación 34,S.R.L,Monotributista,23-45678904-6,1/6/2024,,SI,Mensual,"$380,153.00",402101,June
D00035,EcoVisión,Empresa,Contacto II,-,EcoVisión@example.com,(011) 5000-0035,Observación 35,S.R.L,Responsable Inscripto,24-56789015-7,13/3/2024,45383,NO,Bimestral,"$398,095.00",403101,March
D00036,NexuTech,Empresa,Contacto JJ,-,NexuTech@example.com,(011) 5000-0036,Observación 36,S.R.L,Monotributista,25-67890126-8,31/8/2024,,SI,Anual,"$385,421.00",403101,August
D00037,AlphaSystems,Empresa,Contacto KK,-,AlphaSystems@example.com,(011) 5000-0037,Observación 37,S.R.L,Responsable Inscripto,26-78901237-9,1/2/2024,45383,NO,Mensual,"$397,090.00",402101,February
D00038,MetroLogística,Empresa,Contacto LL,-,MetroLogística@example.com,(011) 5000-0038,Observación 38,S.R.L,Monotributista,27-89012348-0,20/5/2024,,SI,Bimestral,"$259,341.00",403101,May
D00039,Quantum Ventures,Empresa,Contacto MM,-,Quantum Ventures@example.com,(011) 5000-0039,Observación 39,S.R.L,Responsable Inscripto,28-90123459-1,28/6/2024,,SI,Anual,"$406,805.00",403101,June
D00040,Orion Innovaciones,Empresa,Contacto NN,-,Orion Innovaciones@example.com,(011) 5000-0040,Observación 40,S.R.L,Monotributista,29-01234570-2,27/4/2024,,SI,Mensual,"$333,954.00",402101,April
D00041,Jaan Pérez,Individuo,Contacto OO,Secretario,Jaan Pérez@example.com,(011) 5000-0041,Observación 41,-,Monotributista,20-12345682-4,29/2/2024,45383,NO,Bimestral,"$86,846.00",403101,February
D00042,Ana López,Individuo,Contacto PP,Analista,Ana López@example.com,(011) 5000-0042,Observación 42,-,Exento,21-23456783-5,14/6/2024,,SI,Anual,"$167,448.00",403101,June
D00043,Jorge Rodríguez,Individuo,Contacto QQ,Director,Jorge Rodríguez@example,(011) 5000-0043,Observación 43,-,Responsable Inscripto,22-34567894-6,14/5/2024,,SI,Mensual,"$70,569.00",402102,May
D00044,Sofía Díaz,Individuo,Contacto RR,Gerente,Sofía Díaz@example.com,(011) 5000-0044,Observación 44,-,Monotributista,23-45678905-7,3/4/2024,,SI,Bimestral,"$130,021.00",403101,April
D00045,alejandro Torres,Individuo,Contacto SS,Cordinador,alejandro Torres@example.com,(011) 5000-0045,Observación 45,-,Exento,24-56789016-8,12/4/2024,,SI,Anual,"$135,342.00",403101,April
D00046,Gabriela Ortiz,Individuo,Contacto TT,Asistente,Gabriela Ortiz@example.com,(011) 5000-0046,Observación 46,-,Responsable Inscripto,25-67890127-9,15/3/2024,45383,NO,Mensual,"$55,258.00",402102,March
D00047,Sergio Rivas,Individuo,Contacto UU,Secretario,Sergio Rivas@example.com,(011) 5000-0047,Observación 47,-,Monotributista,26-78901238-0,11/4/2024,,SI,Bimestral,"$104,301.00",403101,April
D00048,Patricia Navarro,Individuo,Contacto VV,Analista,Patricia Navarro@example.com,(011) 5000-0048,Observación 48,-,Exento,27-89012349-1,2/5/2024,,SI,Anual,"$158,669.00",403101,May
D00049,Fernando Aguilar,Individuo,Contacto WW,Director,Fernando Aguilar@example.com,(011) 5000-0049,Observación 49,-,Responsable Inscripto,28-90123450-2,17/6/2024,,SI,Mensual,"$166,965.00",402102,June
D00050,Isabel Ríos,Individuo,Contacto XX,Gerente,Isabel Ríos@example.com,(011) 5000-0050,Observación 50,-,Monotributista,29-01234571-3,30/1/2024,45383,NO,Bimestral,"$151,978.00",403101,January
D00051,Rafael Silva,Individuo,Contacto YY,Coordinador,Rafael Silva@example.com,(011) 5000-0051,Observación 51,-,Exento,20-12345683-6,17/4/2024,,SI,Anual,"$176,989.00",403101,April
D00052,Mónica León,,Contacto ZZ,Asistente,Mónica León@example.com,(011) 5000-0052,Observación 52,-,Responsable Inscripto,21-23456784-7,4/2/2024,45383,NO,Mensual,"$102,271.00",403101,February
D00053,Héctor Salazar,Individuo,Contacto AAA,Secretario,Héctor Salazar@example.com,(011) 5000-0053,Observación 53,-,Monotributista,22-34567895-8,27/6/2024,,SI,Bimestral,"$154,758.00",403101,June
D00054,Carolina Mendoza,Individuo,Contacto BBB,Analista,Carolina Mendoza@example.com,(011) 5000-0054,Observación 54,-,Exento,23-45678906-9,11/5/2024,,SI,Anual,"$55,466.00",403101,May
D00055,Víctor Gil,Individuo,Contacto CCC,Director,Víctor Gil@example.com,(011) 5000-0055,Observación 55,-,Responsable Inscripto,24-56789017-0,7/4/2024,,SI,Mensual,"$89,589.00",402102,April
D00056,Claudia Ponce,Individuo,Contacto DDD,Gerente,Claudia Ponce@example.com,(011) 5000-0056,Observación 56,-,Monotributista,25-67890128-1,22/4/2024,,SI,Bimestral,"$75,404.00",403101,April
D00057,Mario Espinoza,Individuo,Contacto EEE,ccoordinador,Mario Espinoza@example.com,(011) 5000-0057,Observación 57,-,Exento,26-78901229-2,6/2/2024,45383,NO,Anual,"$114,077.00",403101,February
D00058,Rosa Cárdenas,Individuo,Contacto FFF,Asistente,Rosa Cárdenas@example.com,(011) 5000-0058,Observación 58,-,Responsable Inscripto,27-89012330-3,4/3/2024,45383,NO,Mensual,"$174,259.00",402102,March
D00059,Adolfo Cabrera,Individuo,Contacto GGG,Secretario,Adolfo Cabrera@example.com,(011) 5000-0059,Observación 59,-,Monotributista,28-90123461-4,17/4/2024,,SI,Bimestral,"$133,689.00",403101,April
D00060,Susana Muñoz,Individuo,Contacto HHH,Analista,Susana Muñoz@example.com,(011) 5000-0060,Observación 60,-,Exento,29-01234572-5,13/5/2024,,SI,Anual,"$58,351.00",403101,May
D00061,Felipe Rojas,Individuo,Contacto III,Director,Felipe Rojas@example.com,(011) 5000-0061,Observación 61,-,Responsable Inscripto,20-12345684-7,17/3/2024,45383,NO,Mensual,"$104,373.00",402102,March
D00062,Olga Vargas,Individuo,Contacto JJJ,Gerente,Olga Vargas@example.com,(011) 5000-0062,Observación 62,-,Monotributista,21-23456785-8,16/5/2024,,SI,Bimestral,"$167,335.00",403101,May
D00063,Esteban Rosales,Individuo,Contacto KKK,Coordinador,Esteban Rosales@example.com,(011) 5000-0063,Observación 63,-,Exento,22-34567896-9,29/1/2024,45383,NO,Anual,"$99,055.00",403101,January
D00064,Emma Paredes,Individuo,Contacto LLL,Asistente,Emma Paredes@example.com,(011) 5000-0064,Observación 64,-,Responsable Inscripto,23-45678907-0,26/6/2024,,SI,Mensual,"$60,683.00",402102,June
D00065,Joaquín Serrano,Individuo,Contacto MMM,Secretario,Joaquín Serrano@example.com,(011) 5000-0065,Observación 65,-,Monotributista,24-56789018-1,9/5/2024,,SI,Bimestral,"$119,390.00",403101,May
D00066,Laura Márquez,Individuo,Contacto NNN,Analista,Laura Márquez@example.com,(011) 5000-0066,Observación 66,-,Exento,25-67890129-2,1/2/2024,45383,NO,Anual,"$117,232.00",403101,February
D00067,Damián Molina,Individuo,Contacto OOO,Director,Damián Molina@example.com,(011) 5000-0067,Observación 67,-,Responsable Inscripto,26-78901230-3,13/6/2024,,SI,Mensual,"$100,701.00",402102,June
D00068,Viviana Herrera,Individuo,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,-,Monotributista,27-89012331-4,26/1/2024,45383,NO,Bimestral,"$186,202.00",403101,January
D00068,Viviana Herrera,,Contacto PPP,Gerente,Viviana Herrera@example.com,(011) 5000-0068,Observación 68,-,Monotributista,27-89012331-4,26/1/2024,45383,NO,Bimestral,"$173,157.00",403101,January
D00069,Agustín Martínez,Individuo,Contacto QQQ,Coordinador,Agustín Martínez@example,(011) 5000-0069,Observación 69,-,Exento,28-90123462-5,17/2/2024,45383,NO,Anual,"$109,167.00",403101,February
D00070,Clara Torres,Individuo,Contacto RRR,Asistente,Clara Torres@example.com,(011) 5000-0070,Observación 70,-,Responsable Inscripto,29-01234573-6,29/5/2024,,SI,Mensual,"$121,715.00",402102,May
D00071,Ezequiel Delgado,Individuo,Contacto SSS,Secretario,Ezequiel Delgado@example.com,(011) 5000-0071,Observación 71,-,Monotributista,20-12345685-8,12/6/2024,,SI,Bimestral,"$181,679.00",403101,June
D00072,Pilar Ortiz,Individuo,Contacto TTT,Analista,Pilar Ortiz@example.com,(011) 5000-0072,Observación 72,-,Exento,21-23456786-9,24/5/2024,,SI,Anual,"$164,792.00",403101,May
D00073,Luciano Rivas,Individuo,Contacto UUU,Director,Luciano Rivas@example.com,(011) 5000-0073,Observación 73,-,Responsable Inscripto,22-34567897-0,12/4/2024,,SI,Mensual,"$184,834.00",402102,April
D00074,Mía Morales,Individuo,Contacto VVV,Gerente,Mía Morales@example.com,(011) 5000-0074,Observación 74,-,Monotributista,23-45678908-1,19/2/2024,45383,NO,Bimestral,"$173,825.00",403101,February
D00075,Carlos Gómez,Individuo,Contacto WWW,COORDINADOR,Carlos Gómez@example.com,(011) 5000-0075,Observación 75,-,Exento,24-56789019-2,2/2/2024,45383,NO,Anual,"$166,200.00",403101,February
D00076,Mariana Fernández,Individuo,Contacto XXX,Asistente,Mariana Fernández@example.com,(011) 5000-0076,Observación 76,-,Responsable Inscripto,25-67890130-3,18/5/2024,,SI,Mensual,"$106,340.00",402102,May
D00077,Luis Martínez,Individuo,Contacto YYY,Secretario,Luis Martínez@example,(011) 5000-0077,Observación 77,-,Monotributista,26-78901231-4,20/6/2024,,SI,Bimestral,"$130,340.00",403101,June
D00078,Julia González,Individuo,Contacto ZZZ,Analista,Julia González@example.com,(011) 5000-0078,Observación 78,-,Exento,27-89012332-5,13/3/2024,45383,NO,Anual,"$90,786.00",403101,March
D00079,Ricardo López,,Contacto AAAA,Director,Ricardo López@example.com,(011) 5000-0079,Observación 79,-,Responsable Inscripto,28-90123463-6,6/3/2024,45383,NO,Mensual,"$188,151.00",403101,March
D00080,Silvia Ramírez,Individuo,Contacto BBBB,Gerente,Silvia Ramírez@example.com,(011) 5000-0080,Observación 80,-,Monotributista,29-01234574-7,30/6/2024,,SI,Bimestral,"$136,947.00",403101,June
D00081,Martín Vargas,Individuo,Contacto CCCC,Coordinador,Martín Vargas@example.com,(011) 5000-0081,Observación 81,-,Exento,20-12345686-0,16/2/2024,45383,NO,Anual,"$165,727.00",403101,February
D00082,Natalia Castro,Individuo,Contacto DDDD,Asistente,Natalia Castro@example.com,(011) 5000-0082,Observación 82,-,Responsable Inscripto,21-23456787-1,24/6/2024,,SI,Mensual,"$114,296.00",402102,June
D00083,alejandra Peña,Individuo,Contacto EEEE,Secretario,alejandra Peña@example,(011) 5000-0083,Observación 83,-,Monotributista,22-34567898-2,15/3/2024,45383,NO,Bimestral,"$76,383.00",403101,March
D00084,Santiago López,Individuo,Contacto FFFF,Analista,Santiago López@example.com,(011) 5000-0084,Observación 84,-,Exento,23-45678909-3,18/6/2024,,SI,Anual,"$137,963.00",403101,June
D00085,Verónica Ruiz,Individuo,Contacto GGGG,Director,Verónica Ruiz@example.com,(011) 5000-0085,Observación 85,-,Responsable Inscripto,24-56789020-4,8/2/2024,45383,NO,Mensual,"$63,095.00",402102,February
D00086,Andrés Silva,Individuo,Contacto HHHH,Gerente,Andrés Silva@example.com,(011) 5000-0086,Observación 86,-,Monotributista,25-67890131-5,5/4/2024,,SI,Bimestral,"$113,891.00",403101,April
D00087,Patricia Gómez,Individuo,Contacto IIII,Coordinador,Patricia Gómez@example.com,(011) 5000-0087,Observación 87,-,Exento,26-78901232-6,22/2/2024,45383,NO,Anual,"$125,419.00",403101,February
D00088,Javier Morales,Individuo,Contacto JJJJ,Asistente,Javier Morales@example.com,(011) 5000-0088,Observación 88,-,Responsable Inscripto,27-89012333-7,28/6/2024,,SI,Mensual,"$121,338.00",402102,June
D00089,Liliana Romero,Individuo,Contacto KKKK,Secretario,Liliana Romero@example.com,(011) 5000-0089,Observación 89,-,Monotributista,28-90123464-8,10/6/2024,,SI,Bimestral,"$58,739.00",403101,June
D00090,Maximiliano Álvarez,Individuo,Contacto LLLL,Analista,Maximiliano Álvarez@example.com,(011) 5000-0090,Observación 90,-,Exento,29-01234575-9,10/4/2024,,SI,Anual,"$65,020.00",403101,April
D00091,Elena Bravo,Individuo,Contacto MMMM,Director,Elena Bravo@example.com,(011) 5000-0091,Observación 91,-,Responsable Inscripto,20-12345687-0,22/4/2024,,SI,Mensual,"$163,410.00",402102,April
D00092,Hugo Fernández,Individuo,Contacto NNNN,Gerente,Hugo Fernández@example.com,(011) 5000-0092,Observación 92,-,Monotributista,21-23456788-1,9/3/2024,45383,NO,Bimestral,"$123,679.00",403101,March
D00093,Diana Morales,Individuo,Contacto OOOO,Coordinador,Diana Morales@example.com,(011) 5000-0093,Observación 93,-,Exento,22-34567889-2,29/1/2024,45383,NO,Anual,"$126,605.00",403101,January
D00094,Rodrigo Medina,,Contacto PPPP,Asistente,Rodrigo Medina@example.com,(011) 5000-0094,Observación 94,-,Responsable Inscripto,23-45678990-3,2/4/2024,,SI,Mensual,"$84,706.00",403101,April
D00095,Margarita Jiménez,Individuo,Contacto QQQQ,Secretario,Margarita Jiménez@example,(011) 5000-0095,Observación 95,-,Monotributista,24-56789001-4,22/2/2024,45383,NO,Bimestral,"$195,855.00",403101,February
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$114,424.00",403101,April
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$110,881.00",403101,April
D00096,Emilio Soto,Individuo,Contacto RRRR,Analista,Emilio Soto@example.com,(011) 5000-0096,Observación 96,-,Exento,25-67890122-5,15/4/2024,,SI,Anual,"$57,867.00",403101,April
D00097,Rocío Cabrera,Individuo,Contacto SSSS,Director,Rocío Cabrera@example.com,(011) 5000-0097,Observación 97,-,Responsable Inscripto,26-78901233-6,28/5/2024,,SI,Mensual,"$139,723.00",402102,May
D00098,Pablo Fernández,Individuo,Contacto TTTT,Gerente,Pablo Fernández@example.com,(011) 5000-0098,Observación 98,-,Monotributista,27-89012344-7,5/5/2024,,SI,Bimestral,"$133,131.00",403101,May
D00099,Belén Gómez,Individuo,Contacto UUUU,Coordinador,Belén Gómez@example.com,(011) 5000-0099,Observación 99,-,Exento,28-90123455-8,25/1/2024,45383,NO,Anual,"$162,961.00",403101,January
D00100,Roberto Morales,Individuo,Contacto VVVV,Asistente,Roberto Morales@example.com,(011) 5000-0100,Observación 100,-,Responsable Inscripto,29-01234576-9,26/2/2024,45383,NO,Mensual,"$156,325.00",402102,February
D00101,Donaciones Co.,Empresa,Contacto VVVV,-,Donaciones Co.@example.com,(011) 5000-0101,Observación 101,SRL,Responsable Inscripto,29-01234576-10,31/5/2024,,SI,Anual,"$120,000.00",409021,May
D00102,Ayuda Empresarial S.A.,Empresa,Contacto VVVV,-,Ayuda Empresarial S.A.@example.com,(011) 5000-0102,Observación 102,SA,Responsable Inscripto,29-01234576-11,1/6/2024,,SI,Anual,"$150,000.00",409021,June
D00103,Donativos y Más S.R.L.,Empresa,Contacto VVVV,-,Donativos y Más S.R.L.@example.com,(011) 5000-0103,Observación 103,SRL,Responsable Inscripto,29-01234576-12,2/6/2024,,SI,Bimestral,"$200,000.00",409021,June
D00104,Apoyo Corporativo S.A.,Empresa,Contacto VVVV,-,Apoyo Corporativo S.A.@example.com,(011) 5000-0104,Observación 104,SA,Responsable Inscripto,29-01234576-13,3/6/2024,,SI,Bimestral,"$180,000.00",409021,June
D00105,Fundación Empresarial,Empresa,Contacto VVVV,-,Fundación Empresarial@example.com,(011) 5000-0105,,SA,Responsable Inscripto,29-01234576-14,4/6/2024,,SI,Bimestral,"$220,000.00",409021,June
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
