Numero,Nombre,Tipo,Contacto,Cargo,Correo Electrónico,Telefono,Observaciones,Razon Social,Tipo de Contribuyente,CUIT,Alta,Baja,Activo,Frecuencia,Importe,Nro de Cuenta,Fecha_Donación,País
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"280.468,00",404100,12/04/2020,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"276.867,00",403103,24/04/2020,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"63.835,00",405100,01/05/2020,Chile
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"101.418,00",403103,02/05/2020,Paraguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"188.904,00",403103,06/05/2020,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"460.149,00",403103,24/05/2020,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"183.842,00",403103,03/06/2020,Paraguay
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,-,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,Exento,34-01712356-6,26/1/2018,,Si,Anual,"205.153,00",404100,04/06/2020,Chile
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"166.865,00",404100,18/06/2020,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"247.913,00",403103,24/06/2020,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"84.204,00",405100,01/07/2020,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"70.469,00",403103,05/07/2020,Paraguay
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"75.788,00",403103,05/07/2020,Bolivia
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"565.616,00",403103,24/07/2020,Uruguay
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"153.871,00",403103,03/08/2020,Paraguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"207.544,00",403103,04/08/2020,Paraguay
D00112,Global Energies S.A.,Estado,Contacto A,-,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,Responsable Inscripto,25-36901514-8,13/8/2019,,SI,Anual,"750.782,00",404100,14/08/2020,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"655.577,00",404100,22/08/2020,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"219.966,00",403103,24/08/2020,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"121.573,00",405100,01/09/2020,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"483.595,00",403103,03/09/2020,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"264.022,00",403103,24/09/2020,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"226.668,00",403103,05/10/2020,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"686.866,00",404100,10/10/2020,Argentina
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"354.871,00",403103,24/10/2020,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"179.927,00",405100,01/11/2020,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"285.886,00",403103,04/11/2020,Paraguay
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"141.673,00",403103,05/11/2020,Paraguay
D00116,Universidad del Sur,Empresa,Contacto V,-,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,Responsable Inscripto,29-38793456-3,23/12/2018,,SI,Anual,"173.463,00",403103,15/11/2020,Perú
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"244.865,00",403103,24/11/2020,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"321.539,00",403103,02/12/2020,Paraguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"325.793,00",403103,24/12/2020,Uruguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"492.556,00",404100,25/12/2020,Argentina
D00115,Mercado Popular,Campaña,Contacto VDS,-,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,Monotributista,24-34193456-2,22/12/2020,,SI,Bimestral,"180.488,00",405100,25/12/2020,Brasil
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"433.438,00",405100,01/01/2021,Chile
D00141,Apoyo Social Universal,Estado,Contacto AK,-,apoyosocialuniversal@example.com,(+)54 9 11 8765 5588,Observación SSA,GOB,Exento,30-33675566-8,1/1/2021,1/6/2024,NO,Trimestral,"51.713,00",405100,01/01/2021,Argentina
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"1.121.873,00",405100,02/01/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"29.120,00",405100,02/01/2021,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"345.181,00",403103,03/01/2021,Paraguay
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"24.378,00",403103,18/01/2021,Bolivia
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"193.728,00",405100,22/01/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"399.685,00",403103,24/01/2021,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"250.534,00",403103,05/02/2021,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"470.537,00",404100,07/02/2021,Argentina
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"130.672,00",403103,07/02/2021,Paraguay
D00115,Mercado Popular,Campaña,Contacto VDS,-,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,Monotributista,24-34193456-2,22/12/2020,,SI,Bimestral,"79.065,00",405100,10/02/2021,Brasil
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"220.940,00",405100,15/02/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"88.565,00",405100,16/02/2021,Chile
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"139.844,00",405100,23/02/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"486.131,00",403103,24/02/2021,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"526.926,00",405100,01/03/2021,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"333.984,00",403103,04/03/2021,Paraguay
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"570.809,00",405100,07/03/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"88.682,00",405100,08/03/2021,Chile
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"45.549,00",405100,22/03/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"455.211,00",403103,24/03/2021,Uruguay
D00141,Apoyo Social Universal,Estado,Contacto AK,-,apoyosocialuniversal@example.com,(+)54 9 11 8765 5588,Observación SSA,GOB,Exento,30-33675566-8,1/1/2021,1/6/2024,NO,Trimestral,"109.533,00",405100,01/04/2021,Argentina
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"522.252,00",403103,06/04/2021,Paraguay
D00115,Mercado Popular,Campaña,Contacto VDS,-,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,Monotributista,24-34193456-2,22/12/2020,,SI,Bimestral,"184.185,00",405100,07/04/2021,Brasil
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"143.318,00",404100,14/04/2021,Argentina
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"408.684,00",405100,22/04/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"28.523,00",405100,22/04/2021,Chile
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"87.788,00",405100,24/04/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"334.904,00",403103,24/04/2021,Uruguay
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"271.642,00",405100,01/05/2021,Chile
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"564.381,00",403103,03/05/2021,Paraguay
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"195.011,00",403103,04/05/2021,Paraguay
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"451.106,00",405100,10/05/2021,Bolivia
D00116,Universidad del Sur,Empresa,Contacto V,-,universidadds@mail.com,(+)51 5550-9220,Observación O,S.A,Responsable Inscripto,29-38793456-3,23/12/2018,,SI,Anual,"42.590,00",403103,12/5/2021,Perú
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"13.240,00",405100,12/05/2021,Chile
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"57.471,00",405100,22/05/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"268.278,00",403103,24/05/2021,Uruguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"53.611,00",403103,05/06/2021,Paraguay
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"387.405,00",404100,19/06/2021,Argentina
D00115,Mercado Popular,Campaña,Contacto VDS,-,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,Monotributista,24-34193456-2,22/12/2020,,SI,Bimestral,"65.000,00",405100,19/06/2021,Brasil
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"40.464,00",405100,23/06/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"486.280,00",403103,24/06/2021,Uruguay
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"442.684,00",405100,28/06/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"27.493,00",405100,30/06/2021,Chile
D00135,Logística Global S.R.L.,Campaña,Contacto ALG,-,global@logisticaglobal.com,(+)56 9 7654 3210,Observación NN,SRL,Monotributista,20-98765432-1,1/1/2020,,SI,Bimestral,"400.338,00",405100,01/07/2021,Chile
D00141,Apoyo Social Universal,Estado,Contacto AK,-,apoyosocialuniversal@example.com,(+)54 9 11 8765 5588,Observación SSA,GOB,Exento,30-33675566-8,1/1/2021,1/6/2024,NO,Trimestral,"117.472,00",405100,01/07/2021,Argentina
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"175.471,00",403103,04/07/2021,Paraguay
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"404.537,00",405100,05/07/2021,Bolivia
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"222.261,00",405100,14/07/2021,Chile
D00114,Latinoamerica Crece,Estado,Contacto ESD,-,latinoamerica_crece@example.com,(+)598 5550-9219,-,GOB,Exento,27-75193456-1,21/1/2020,25/12/2021,NO,Mensual,"190.604,00",405100,22/07/2021,Uruguay
D00117,Automoviles Full,Empresa,Contacto VS,-,afull@mail.com,(+)598 5550-9221,Observación OA,S.A,Responsable Inscripto,21-38712356-4,24/1/2020,2/2/2024,NO,Mensual,"335.920,00",403103,24/07/2021,Uruguay
D00122,El Parque SRL,Empresa,Contacto ASD,-,parque@mail.com,(+)591 5550-9224,Observación,SRL,Responsable Inscripto,24-78912356-7,1/1/2018,,SI,Semestral,"61.986,00",403103,27/07/2021,Bolivia
D00115,Mercado Popular,Campaña,Contacto VDS,-,mercadopopular@example.com,(+)55 5550-9219,Observación DAS,SAS,Monotributista,24-34193456-2,22/12/2020,,SI,Bimestral,"181.635,00",405100,05/08/2021,Brasil
D00132,VíaVerde,Campaña,Contacto RCO,-,eco@viaverde.com,(+)56 9 8765 4321,-,SRL,Responsable Inscripto,27-78434109-9,2/1/2021,3/1/2023,NO,Mensual,"102.864,00",405100,05/08/2021,Chile
D00110,Apoyo Logistico S.A.,Empresa,Contacto GH,-,apoyologisticosa@mail.com,(595) 5030-0105,Observación 175,SA,Responsable Inscripto,29-01265476-14,2/5/2020,1/7/2024,NO,Trimestral,"199.470,00",403103,06/08/2021,Paraguay
D00111,Futuro Corporativo,Empresa,Contacto E,-,futurocorporativo@mail.com,(+)595 5380-3426,Observación D,SAS,Monotributista,27-23783266-6,2/12/2019,,SI,Mensual,"487.451,00",403103,06/08/2021,Paraguay
D00112,Global Energies S.A.,Estado,Contacto A,-,globalenergiess.a.@example.net,(+)598 5503-7127,Observación C,,Responsable Inscripto,25-36901514-8,13/8/2019,,SI,Anual,"409.837,00",404100,12/08/2021,Uruguay
D00123,Merendero Solidario,ONG,-,-,solidario@mail.com,(+)591 5550-9225,Observación D,GOB,Monotributista,24-72582356-8,2/1/2021,,SI,Mensual,"374.870,00",405100,19/08/2021,Bolivia
D00121,Ministerio de Acción Comunitaria,Estado,Contacto ZVS,-,accióncomunitaria@mail.com,(+)56 5550-9223,Observación DD,GOB,Exento,34-01712356-6,26/1/2018,,Si,Anual,"218.438,00",404100,22/08/2021,Chile
D00109,Innovatech Solutions,Estado,Contacto B,-,innovatechsolutions@mail.com,(+)54 5263-2378,Observación A,S.A,Exento,24-56588769-6,9/8/2019,,SI,Bimestral,"748.110,00",404100,23/08/2021,Argentina
